model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_2_000_000_batching_time_mean,step_2_000_000_update_time_mean,step_2_000_000_batching_time_median,step_2_000_000_update_time_median,step_100_000_train_rmse,step_100_000_val_rmse,step_100_000_test_rmse,step_200_000_train_rmse,step_200_000_val_rmse,step_200_000_test_rmse,step_300_000_train_rmse,step_300_000_val_rmse,step_300_000_test_rmse,step_400_000_train_rmse,step_400_000_val_rmse,step_400_000_test_rmse,step_500_000_train_rmse,step_500_000_val_rmse,step_500_000_test_rmse,step_600_000_train_rmse,step_600_000_val_rmse,step_600_000_test_rmse,step_700_000_train_rmse,step_700_000_val_rmse,step_700_000_test_rmse,step_800_000_train_rmse,step_800_000_val_rmse,step_800_000_test_rmse,step_900_000_train_rmse,step_900_000_val_rmse,step_900_000_test_rmse,step_1_000_000_train_rmse,step_1_000_000_val_rmse,step_1_000_000_test_rmse,step_1_100_000_train_rmse,step_1_100_000_val_rmse,step_1_100_000_test_rmse,step_1_200_000_train_rmse,step_1_200_000_val_rmse,step_1_200_000_test_rmse,step_1_300_000_train_rmse,step_1_300_000_val_rmse,step_1_300_000_test_rmse,step_1_400_000_train_rmse,step_1_400_000_val_rmse,step_1_400_000_test_rmse,step_1_500_000_train_rmse,step_1_500_000_val_rmse,step_1_500_000_test_rmse,step_1_600_000_train_rmse,step_1_600_000_val_rmse,step_1_600_000_test_rmse,step_1_700_000_train_rmse,step_1_700_000_val_rmse,step_1_700_000_test_rmse,step_1_800_000_train_rmse,step_1_800_000_val_rmse,step_1_800_000_test_rmse,step_1_900_000_train_rmse,step_1_900_000_val_rmse,step_1_900_000_test_rmse,step_2_000_000_train_rmse,step_2_000_000_val_rmse,step_2_000_000_test_rmse
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,0,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_0/profiling_job.sh,8,0.00045191708660125734,0.003840251060128212,0.0004405975341796875,0.003508329391479492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,8,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_8/profiling_job.sh,8,0.00043858183479309084,0.0038123642916679384,0.0004248619079589844,0.0034933090209960938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,9,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_9/profiling_job.sh,8,0.0004767918804883957,0.0039037266578674317,0.0004646778106689453,0.003579854965209961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,4,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_4/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_4/profiling_job.sh,8,0.0004457339059114456,0.003909035423398018,0.0004322528839111328,0.003512859344482422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,7,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_7/profiling_job.sh,8,0.00047107347512245177,0.0038893579914569855,0.0004591941833496094,0.0035538673400878906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,6,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_6/profiling_job.sh,8,0.0004685123221874237,0.0039895977433919904,0.00045490264892578125,0.003555774688720703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,16,gpu_a100,3,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_3/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/16/gpu_a100/iteration_3/profiling_job.sh,8,0.0004283825980424881,0.00380618654859066,0.0004138946533203125,0.0033545494079589844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,64,gpu_a100,2,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_2/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_2/profiling_job.sh,6,0.0011583999984264373,0.00944296512567997,0.0011284351348876953,0.008014202117919922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,64,gpu_a100,1,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_1/profiling_job.sh,6,0.001153172796368599,0.009654038760781289,0.0011072158813476562,0.008213996887207031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,64,gpu_a100,5,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_5/profiling_job.sh,6,0.0011454227010011674,0.009641876913666724,0.0010941028594970703,0.008191585540771484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,64,gpu_a100,0,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_0/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_0/profiling_job.sh,6,0.0011504647738933564,0.009773674190282822,0.0011048316955566406,0.008271217346191406,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
painn,15_12_17__15_05_2025,aflow,static,False,64,gpu_a100,8,True,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/painn_profiling/painn_256_latent_size_2M_GPU_25_3_2025/profiling_experiments/painn/aflow/static/round_False/64/gpu_a100/iteration_8/profiling_job.sh,6,0.0011608508080244064,0.00966700362586975,0.0011250972747802734,0.008172273635864258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
